Hugo_Symbol,T_Paired,P_Paired
STX16-NPEPL1,4.224521383130129,0.00010370998801565911
PPDPF,2.0346880159405,0.0473119549848177
ESPN,-6.888264441849467,9.88232486508044e-09
LAPTM4A,8.12126801840799,1.2474363610312805e-10
KCNK3,12.866922142596744,2.4854872271988575e-17
PDE2A,9.14660637148559,3.568789593984689e-12
TTLL11,12.245752769708274,1.5973709883819893e-16
FBXO38,13.999506275748177,9.480146900926967e-19
ANKMY1,7.007612500781719,6.456061475990617e-09
GTF2IRD1,-10.13390745921155,1.2920900716183848e-13
BIRC6,-4.219405177546232,0.00010544822515468537
EIF1AY,3.4679212696560255,0.0011020688192623126
SEC22A,-5.6327827674111095,8.566129796970075e-07
ZC3H15,-7.345531488102286,1.9375566620487838e-09
DHCR24,11.252966571168253,3.464185645868283e-15
ZDHHC2,2.8808302370525904,0.005869207742924268
C1orf220,-3.3274104265302045,0.0016685170254195348
GLG1,-4.239983175291568,9.862448002660813e-05
DKKL1,-3.0537220913525056,0.00364821778346097
AK3,5.5006078265542,1.3623417937133895e-06
HEATR2,-9.364197975241543,1.7012770896015955e-12
PRKX,-6.279184501684934,8.676142420147246e-08
PARD6A,4.399964131627345,5.8389783282597216e-05
ANKRD18B,-5.730598574190765,6.069701716544231e-07
GKN2,19.854113879528338,4.440853120843267e-25
FAM89B,-2.408504196511096,0.019824426011985787
RABL2B,4.674328154601668,2.3401417122919906e-05
PFN4,-3.906661857843732,0.0002868371445988921
POTEE,-2.7058484021245093,0.009347569407663285
HDAC2,-8.500985595812283,3.307942120394925e-11
TMEM182,-9.869915240564712,3.1035609935912826e-13
ARNT,5.931362377941363,2.985115619649584e-07
OR5P2,2.8337066971152653,0.006663587403409549
CHDH,8.413649849804543,4.48416115831301e-11
PRRG4,-4.815639884669674,1.4514103271790503e-05
UVRAG,4.35210935844965,6.835225534189207e-05
C16orf96,6.974364500827686,7.268840449452233e-09
SMIM8,-2.663384197979501,0.010439064911303017
DYNC2H1,6.444844044386039,4.807981902053124e-08
C17orf53,-14.27410351959577,4.398118489331443e-19
IST1,4.656583305846985,2.4840446566647748e-05
SLC39A10,-4.230751663081971,0.00010163084138941898
ZNF675,-2.466922021440253,0.0171714579504257
MAPK1,-2.433920428041202,0.01862784534420965
RIMBP2,-2.347696469376986,0.022972421077724903
BUB1B,-12.404639034291991,9.878373959657603e-17
GABRR1,-5.331506028979783,2.4591857691203147e-06
LCAT,10.17978653264339,1.1105187396211486e-13
AKR1C3,-3.921266900676953,0.0002739350103480828
DAPK3,3.428079832152245,0.001240667264330552
ZP2,3.0160905427178135,0.0040511900801511866
SETDB1,-3.5918473779688602,0.0007592103387244589
GRIA2,-2.616566022329726,0.011777062413336514
AEBP2,-7.039737176798761,5.757297252302856e-09
ABTB2,-2.992703447319752,0.004322223122161887
RP11-77K12.7,3.346849256783727,0.001576280371070659
CLEC11A,-2.0265720342574025,0.04816665242599369
IL20RB,-5.854177127502697,3.922978655886196e-07
UBQLN4,-8.685524545988878,1.743257385861156e-11
LHCGR,3.9727224091755375,0.00023279705132151388
ZFYVE9,6.649557628126196,2.3163682443427365e-08
AGPAT4,4.7714734531967835,1.6858757597315316e-05
PSME1,5.156639010624246,4.510981676624847e-06
SCAMP1,-2.844673818913222,0.006470280891315229
TRAM2,-2.7354125127457047,0.008650713471409874
PPP2R1B,-2.7106465392925894,0.009231070995740352
ATG5,-3.098208479448356,0.0032203395260772525
H2AFV,-8.14748100719522,1.1377888904860377e-10
KARS,-6.985790550651475,6.978570869485234e-09
ANKRD2,-3.345685341608104,0.0015816641308990058
NFIB,4.62951880302049,2.720376146899738e-05
SGCZ,-3.1178192682631902,0.0030470943645307218
SRC,-4.275265789775336,8.791136420289472e-05
EIF4EBP2,8.362055230048375,5.368698682835599e-11
EPHA7,-3.0865884891420454,0.003327313515743266
BANK1,6.523917818231361,3.62650956525727e-08
RNASEL,5.692995010141004,6.929973792448974e-07
FAM84A,-7.294181453210948,2.325864758612376e-09
CEP128,-7.266986770817634,2.5622072585668767e-09
RPP21,-7.738924225916218,4.799865870472632e-10
CCDC104,3.30732942960738,0.0017691610210829926
SLC4A7,-2.9032781639172214,0.005522571828392651
SFMBT2,4.495320611799826,4.258277703555714e-05
IGSF1,-3.6950760822280406,0.0005540110878028815
