Hugo_Symbol,T_Independent,P_Independent
G6PC2,4.697014930086311,8.605406641477994e-06
ZNF597,12.734385528796937,1.691204704518581e-22
RNF114,2.9357936660605133,0.004145430876988088
SFRP2,-3.0359878377640515,0.0030712172988511454
PNMA2,15.6126134721871,2.4831366765559096e-28
C1orf158,4.569426448673226,1.426498984376836e-05
HENMT1,-3.7707802021154917,0.00027838182848099823
STX16,-3.8246463201044105,0.00023039391558313195
BFAR,4.137653788937466,7.423684184929225e-05
SHROOM3,13.733114691889343,1.4372051176156759e-24
NUP107,-9.593005255911693,9.256095048711437e-16
HS6ST1,-7.724687739511489,9.763656820684073e-12
BRWD3,-4.806507709455775,5.542715457373375e-06
FGF11,-8.561734533876102,1.5829595055002028e-13
CCDC138,-8.099800334138129,1.5530863105531863e-12
FAM193B,2.856487029006881,0.00523050279583564
BATF,3.704641877008579,0.0003503535164804433
AGFG2,7.716286947233474,1.0172006578547716e-11
TVP23B,-3.0565433469634207,0.002885488098170387
BCL6,3.7981644717729393,0.00025290689914317843
DNAJC3,5.9999712010843815,3.32274080814038e-08
CABP5,2.6524598789154017,0.009321889583415705
C1orf233,-2.788317385664998,0.006365244927830489
ADH6,2.607307607916881,0.010551238007982378
ITGB6,10.571571079493753,6.983400079735944e-18
CEACAM21,10.52715461227755,8.713231938469613e-18
ETV6,-3.008969653624746,0.0033321888631299536
C1RL,5.992349338894522,3.438700693028802e-08
CCDC181,5.408695347964195,4.4887751864113594e-07
GPN3,-3.084823825865209,0.002646938252781415
RAP1GAP,8.370495466361726,4.083134233846205e-13
MAGED2,3.962171788783236,0.00014104117255091538
C1orf85,-3.1937767722667494,0.001888802048302471
JRKL,-4.290718832107172,4.183206946714264e-05
BHLHE40,2.490896635078012,0.014423041458314743
NMUR1,14.089144475075358,2.6965717548614962e-25
SPATA18,6.0774338624130575,2.3423116924262587e-08
SLC17A3,6.381244066981351,5.843942098029393e-09
NTPCR,-4.653311433214193,1.0240982682846532e-05
CBWD3,-3.0529182645781527,0.002917467486612659
TLDC2,3.4496303451195325,0.0008293017688666538
IFNA5,4.2414728503723635,5.037925519203935e-05
RP11-10J21.3,2.0994890247804805,0.03834301964937144
GNAI2,16.484436015737668,5.174695755884047e-30
MNDA,14.09783211861584,2.5891556862913016e-25
RP11-347C12.3,3.6310310316902825,0.00045113758358292157
CLEC6A,7.4868512269159115,3.102487162335527e-11
FCGR2A,10.595751100871276,6.190958741836194e-18
ZNF491,9.295927369673583,4.084835508144575e-15
SEP15,4.605084330840667,1.2395704618099537e-05
GMFG,17.486623772956115,6.808977014440636e-32
MAGEH1,7.254728583721014,9.507563561226772e-11
GMFB,5.61751055381666,1.8151139111492803e-07
AC068987.1,-5.722040174581709,1.1468112956334369e-07
SLC7A2,4.4995142017906185,1.875344579665385e-05
FAM83G,-5.5603660668841774,2.329198165836868e-07
CCNA2,-12.112050851407192,3.46995225451957e-21
PSMC1,-7.49985301808857,2.913101859335027e-11
TGIF1,-3.4837265966933817,0.0007407919429884103
C18orf21,-3.706540112989849,0.0003480616015259351
TDRKH,-2.148582478840852,0.03413146320944498
